0001	Bulbasaur	Bulbasaur   Seed Pokémon	たねポケモン	Seed Pokémon
0897	Spectrier	Spectrier	Swift Horse Pokémon	しゅんばポケモン	Swift Horse Pokémon
0898	Calyrex	Calyrex	King Pokémon	キングポケモン	King Pokémon
0898	Calyrex	Calyrex
Ice Rider	High King Pokémon	エンペラーポケモン	Emperor Pokémon
0898	Calyrex	Calyrex
Shadow Rider	High King Pokémon	エンペラーポケモン	Emperor Pokémon
0899	Wyrdeer	Wyrdeer	Big Horn Pokémon	おおツノポケモン	Big Horn Pokémon
0900	Kleavor	Kleavor	Axe Pokémon	まさかりポケモン	Broadaxe Pokémon
0901	Ursaluna	Ursaluna	Peat Pokémon	でいたんポケモン	Peat Pokémon
0902	Basculegion	Basculegion	Big Fish Pokémon	おおうおポケモン	Big Fish Pokémon
0903	Sneasler	Sneasler	Free Climb Pokémon	クライミングポケモン	Climbing Pokémon
0904	Overqwil	Overqwil	Pin Cluster Pokémon	けんざんポケモン	Kenzan Pokémon
0905	Enamorus	Enamorus	Love-Hate Pokémon	あいぞうポケモン	Love-Hate Pokémon
0906	Sprigatito	Sprigatito	Grass Cat Pokémon	くさねこポケモン	Grass Cat Pokémon
0907	Floragato	Floragato	Grass Cat Pokémon	くさねこポケモン	Grass Cat Pokémon
0908	Meowscarada	Meowscarada	Magician Pokémon	マジシャンポケモン	Magician Pokémon
0909	Fuecoco	Fuecoco	Fire Croc Pokémon	ほのおワニポケモン	Flame Crocodile Pokémon
0910	Crocalor	Crocalor	Fire Croc Pokémon	ほのおワニポケモン	Flame Crocodile Pokémon
0911	Skeledirge	Skeledirge	Singer Pokémon	シンガーポケモン	Singer Pokémon
0912	Quaxly	Quaxly	Duckling Pokémon	こがもポケモン	Duckling Pokémon
0913	Quaxwell	Quaxwell	Practicing Pokémon	レッスンポケモン	Lesson Pokémon
0914	Quaquaval	Quaquaval	Dancer Pokémon	ダンサーポケモン	Dancer Pokémon
0915	Lechonk	Lechonk	Hog Pokémon	ぶたポケモン	Pig Pokémon
0916	Oinkologne	Oinkologne	Hog Pokémon	ぶたポケモン	Pig Pokémon
0917	Tarountula	Tarountula	String Ball Pokémon	いとだまポケモン	String Ball Pokémon
0918	Spidops	Spidops	Trap Pokémon	トラップポケモン	Trap Pokémon
0919	Nymble	Nymble	Grasshopper Pokémon	バッタポケモン	Grasshopper Pokémon
0920	Lokix	Lokix	Grasshopper Pokémon	バッタポケモン	Grasshopper Pokémon
0921	Pawmi	Pawmi	Mouse Pokémon	ねずみポケモン	Mouse Pokémon
0922	Pawmo	Pawmo	Mouse Pokémon	ねずみポケモン	Mouse Pokémon
0923	Pawmot	Pawmot	Hands-On Pokémon	てあてポケモン	Treatment Pokémon
0924	Tandemaus	Tandemaus	Couple Pokémon	カップルポケモン	Couple Pokémon
0925	Maushold	Maushold	Family Pokémon	ファミリーポケモン	Family Pokémon
0926	Fidough	Fidough	Puppy Pokémon	こいぬポケモン	Puppy Pokémon
0927	Dachsbun	Dachsbun	Dog Pokémon	いぬポケモン	Dog Pokémon
0928	Smoliv	Smoliv	Olive Pokémon	オリーブポケモン	Olive Pokémon
0929	Dolliv	Dolliv	Olive Pokémon	オリーブポケモン	Olive Pokémon
0930	Arboliva	Arboliva	Olive Pokémon	オリーブポケモン	Olive Pokémon
0931	Squawkabilly	Squawkabilly	Parrot Pokémon	インコポケモン	Parrot Pokémon
0932	Nacli	Nacli	Rock Salt Pokémon	がんえんポケモン	Rock Salt Pokémon
0933	Naclstack	Naclstack	Rock Salt Pokémon	がんえんポケモン	Rock Salt Pokémon
0934	Garganacl	Garganacl	Rock Salt Pokémon	がんえんポケモン	Rock Salt Pokémon
0935	Charcadet	Charcadet	Fire Child Pokémon	ひのこポケモン	Sparks Pokémon
0936	Armarouge	Armarouge	Fire Warrior Pokémon	ひのせんしポケモン	Fire Warrior Pokémon
0937	Ceruledge	Ceruledge	Fire Blades Pokémon	ひのけんしポケモン	Fire Swordsman Pokémon
0938	Tadbulb	Tadbulb	EleTadpole Pokémon	でんきおたまポケモン	Electric Tadpole Pokémon
0939	Bellibolt	Bellibolt	EleFrog Pokémon	でんきがえるポケモン	Electric Frog Pokémon
0940	Wattrel	Wattrel	Storm Petrel Pokémon	うみつばめポケモン	Northern Storm Petrel Pokémon
0941	Kilowattrel	Kilowattrel	Frigatebird Pokémon	ぐんかんどりポケモン	Frigatebird Pokémon
0942	Maschiff	Maschiff	Rascal Pokémon	わかぞうポケモン	Youngster Pokémon
0943	Mabosstiff	Mabosstiff	Boss Pokémon	おやぶんポケモン	Boss Pokémon
0944	Shroodle	Shroodle	Toxic Mouse Pokémon	どくねずみポケモン	Toxic Mouse Pokémon
0945	Grafaiai	Grafaiai	Toxic Monkey Pokémon	どくざるポケモン	Toxic Monkey Pokémon
0946	Bramblin	Bramblin	Tumbleweed Pokémon	ころがりぐさポケモン	Tumbleweed Pokémon
0947	Brambleghast	Brambleghast	Tumbleweed Pokémon	ころがりぐさポケモン	Tumbleweed Pokémon
0948	Toedscool	Toedscool	Woodear Pokémon	きくらげポケモン	Woodear Pokémon
0949	Toedscruel	Toedscruel	Woodear Pokémon	きくらげポケモン	Woodear Pokémon
0950	Klawf	Klawf	Ambush Pokémon	まちぶせポケモン	Ambush Pokémon
0951	Capsakid	Capsakid	Spicy Pepper Pokémon	ハバネロポケモン	Habanero Pokémon
0952	Scovillain	Scovillain	Spicy Pepper Pokémon	ハバネロポケモン	Habanero Pokémon
0953	Rellor	Rellor	Rolling Pokémon	ころがしポケモン	Rolling Pokémon
0954	Rabsca	Rabsca	Rolling Pokémon	ころがしポケモン	Rolling Pokémon
0955	Flittle	Flittle	Frill Pokémon	フリルポケモン	Frill Pokémon
0956	Espathra	Espathra	Ostrich Pokémon	ダチョウポケモン	Ostrich Pokémon
0957	Tinkatink	Tinkatink	Metalsmith Pokémon	かなうちポケモン	Blacksmith Pokémon
0958	Tinkatuff	Tinkatuff	Hammer Pokémon	ハンマーポケモン	Hammer Pokémon
0959	Tinkaton	Tinkaton	Hammer Pokémon	ハンマーポケモン	Hammer Pokémon
0960	Wiglett	Wiglett	Garden Eel Pokémon	あなごポケモン	Conger Eel Pokémon
0961	Wugtrio	Wugtrio	Garden Eel Pokémon	あなごポケモン	Conger Eel Pokémon
0962	Bombirdier	Bombirdier	Item Drop Pokémon	おとしものポケモン	Dropped Item Pokémon
0963	Finizen	Finizen	Dolphin Pokémon	イルカポケモン	Dolphin Pokémon
0964	Palafin	Palafin
Zero Form	Dolphin Pokémon	イルカポケモン	Dolphin Pokémon
0964	Palafin	Palafin
Hero Form	Hero Pokémon	ヒーローポケモン	Hero Pokémon
0965	Varoom	Varoom	Single-Cyl Pokémon	たんきとうポケモン	Single-Cylinder Pokémon
0966	Revavroom	Revavroom	Multi-Cyl Pokémon	たきとうポケモン	Multi-Cylinder Pokémon
0967	Cyclizar	Cyclizar	Mount Pokémon	ライドポケモン	Ride Pokémon
0968	Orthworm	Orthworm	Earthworm Pokémon	ミミズポケモン	Earthworm Pokémon
0969	Glimmet	Glimmet	Ore Pokémon	こうせきポケモン	Ore Pokémon
0970	Glimmora	Glimmora	Ore Pokémon	こうせきポケモン	Ore Pokémon
0971	Greavard	Greavard	Ghost Dog Pokémon	おばけいぬポケモン	Ghost Dog Pokémon
0972	Houndstone	Houndstone	Ghost Dog Pokémon	おばけいぬポケモン	Ghost Dog Pokémon
0973	Flamigo	Flamigo	Synchronize Pokémon	シンクロポケモン	Synchro Pokémon
0974	Cetoddle	Cetoddle	Terra Whale Pokémon	りくくじらポケモン	Land Whale Pokémon
0975	Cetitan	Cetitan	Terra Whale Pokémon	りくくじらポケモン	Land Whale Pokémon
0976	Veluza	Veluza	Jettison Pokémon	きりはなしポケモン	Detachment Pokémon
0977	Dondozo	Dondozo	Big Catfish Pokémon	おおなまずポケモン	Big Catfish Pokémon
0978	Tatsugiri	Tatsugiri	Mimicry Pokémon	ぎたいポケモン	Mimicry Pokémon
0979	Annihilape	Annihilape	Rage Monkey Pokémon	ふんどざるポケモン	Rage Monkey Pokémon
0980	Clodsire	Clodsire	Spiny Fish Pokémon	とげうおポケモン	Spiny Fish Pokémon
0981	Farigiraf	Farigiraf	Long Neck Pokémon	くびながポケモン	Long Neck Pokémon
0982	Dudunsparce	Dudunsparce	Land Snake Pokémon	つちへびポケモン	Land Snake Pokémon
0983	Kingambit	Kingambit	Big Blade Pokémon	だいとうポケモン	Big Blade Pokémon
0984	Great Tusk	Great Tusk	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
0985	Scream Tail	Scream Tail	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
0986	Brute Bonnet	Brute Bonnet	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
0987	Flutter Mane	Flutter Mane	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
0988	Slither Wing	Slither Wing	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
0989	Sandy Shocks	Sandy Shocks	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
0990	Iron Treads	Iron Treads	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
0991	Iron Bundle	Iron Bundle	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
0992	Iron Hands	Iron Hands	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
0993	Iron Jugulis	Iron Jugulis	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
0994	Iron Moth	Iron Moth	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
0995	Iron Thorns	Iron Thorns	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
0996	Frigibax	Frigibax	Ice Fin Pokémon	こおりビレポケモン	Ice Fin Pokémon
0997	Arctibax	Arctibax	Ice Fin Pokémon	こおりビレポケモン	Ice Fin Pokémon
0998	Baxcalibur	Baxcalibur	Ice Dragon Pokémon	ひょうりゅうポケモン	Ice Dragon Pokémon
0999	Gimmighoul	Gimmighoul
Chest Form	Coin Chest Pokémon	たからばこポケモン	Treasure Chest Pokémon
0999	Gimmighoul	Gimmighoul
Roaming Form	Coin Hunter Pokémon	たからさがしポケモン	Treasure Hunting Pokémon
1000	Gholdengo	Gholdengo	Coin Entity Pokémon	たからものポケモン	Treasure Pokémon
1001	Wo-Chien	Wo-Chien	Ruinous Pokémon	さいやくポケモン	Calamity Pokémon
1002	Chien-Pao	Chien-Pao	Ruinous Pokémon	さいやくポケモン	Calamity Pokémon
1003	Ting-Lu	Ting-Lu	Ruinous Pokémon	さいやくポケモン	Calamity Pokémon
1004	Chi-Yu	Chi-Yu	Ruinous Pokémon	さいやくポケモン	Calamity Pokémon
1005	Roaring Moon	Roaring Moon	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
1006	Iron Valiant	Iron Valiant	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
1007	Koraidon	Koraidon	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
1008	Miraidon	Miraidon	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
1009	Walking Wake	Walking Wake	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
1010	Iron Leaves	Iron Leaves	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
1011	Dipplin	Dipplin	Candy Apple Pokémon	りんごあめポケモン	Candy Apple Pokémon
1012	Poltchageist	Poltchageist	Matcha Pokémon	まっちゃポケモン	Matcha Pokémon
1013	Sinistcha	Sinistcha	Matcha Pokémon	まっちゃポケモン	Matcha Pokémon
1014	Okidogi	Okidogi	Retainer Pokémon	けらいポケモン	Retainer Pokémon
1015	Munkidori	Munkidori	Retainer Pokémon	けらいポケモン	Retainer Pokémon
1016	Fezandipiti	Fezandipiti	Retainer Pokémon	けらいポケモン	Retainer Pokémon
1017	Ogerpon	Ogerpon	Mask Pokémon	おめんポケモン	Mask Pokémon
1018	Archaludon	Archaludon	Alloy Pokémon	ごうきんポケモン	Alloy Pokémon
1019	Hydrapple	Hydrapple	Apple Hydra Pokémon	りんごオロチポケモン	Apple Serpent Pokémon
1020	Gouging Fire	Gouging Fire	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
1021	Raging Bolt	Raging Bolt	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
1022	Iron Boulder	Iron Boulder	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
1023	Iron Crown	Iron Crown	Paradox Pokémon	パラドックスポケモン	Paradox Pokémon
1024	Terapagos	Terapagos	Tera Pokémon	テラスタルポケモン	Terastal Pokémon
1025	Pecharunt	Pecharunt	Subjugation Pokémon	しはいポケモン	Subjugation Pokémon
